days since 1900-1-1, spei
1953-07-16, 0.29519
1953-08-16, -0.43897
1953-09-16, -0.57391
1953-10-16, -1.3823
1953-11-16, -0.051309
1953-12-16, -1.0007
1954-01-16, -0.080936
1954-02-15, -0.23341
1954-03-16, -0.1144
1954-04-16, 0.1886
1954-05-16, -0.31661
1954-06-16, 0.17945
1954-07-16, -1.0201
1954-08-16, -0.71083
1954-09-16, -0.93504
1954-10-16, -1.2742
1954-11-16, -0.54229
1954-12-16, -0.62851
1955-01-16, 0.28728
1955-02-15, 0.09873
1955-03-16, -0.4406
1955-04-16, -0.21169
1955-05-16, -0.6178
1955-06-16, -0.23564
1955-07-16, 1.088
1955-08-16, 0.60088
1955-09-16, -0.35636
1955-10-16, -0.77746
1955-11-16, -0.70422
1955-12-16, 0.86785
1956-01-16, 1.047
1956-02-15, 0.64813
1956-03-16, -0.0044463
1956-04-16, -0.37427
1956-05-16, -0.72513
1956-06-16, -0.45912
1956-07-16, 1.0321
1956-08-16, 0.34316
1956-09-16, -1.08
1956-10-16, -0.079795
1956-11-16, -1.2361
1956-12-16, -1.6322
1957-01-16, -0.70209
1957-02-15, -0.81048
1957-03-16, -0.52264
1957-04-16, 0.05819
1957-05-16, -0.0075196
1957-06-16, 0.0070317
1957-07-16, 0.38878
1957-08-16, -0.66935
1957-09-16, -1.8056
1957-10-16, 0.08356
1957-11-16, 0.086858
1957-12-16, 0.47829
1958-01-16, 0.36591
1958-02-15, 0.77097
1958-03-16, 1.28
1958-04-16, 1.5878
1958-05-16, 1.8713
1958-06-16, 1.7455
1958-07-16, 1.5969
1958-08-16, -0.039964
1958-09-16, 0.68725
1958-10-16, 0.051219
1958-11-16, -0.67959
1958-12-16, -1.5305
1959-01-16, -1.6114
1959-02-15, -0.84447
1959-03-16, -1.3365
1959-04-16, -0.80311
1959-05-16, -0.73267
1959-06-16, -1.7927
1959-07-16, -1.2012
1959-08-16, -1.4097
1959-09-16, -0.8447
1959-10-16, -0.97749
1959-11-16, -1.462
1959-12-16, -1.4495
1960-01-16, -1.083
1960-02-15, -0.48251
1960-03-16, -0.36054
1960-04-16, -0.029992
1960-05-16, -0.31477
1960-06-16, -0.80186
1960-07-16, -0.63196
1960-08-16, -1.4594
1960-09-16, -1.0722
1960-10-16, -0.90991
1960-11-16, 1.5219
1960-12-16, 0.42023
1961-01-16, -0.11125
1961-02-15, -0.77174
1961-03-16, -2.0221
1961-04-16, -1.7309
1961-05-16, -1.5661
1961-06-16, -1.1601
1961-07-16, -1.0894
1961-08-16, -0.36736
1961-09-16, -0.65616
1961-10-16, -0.9336
1961-11-16, 0.4859
1961-12-16, 0.076517
1962-01-16, -0.090021
1962-02-15, 1.7212
1962-03-16, 1.2755
1962-04-16, 1.1332
1962-05-16, 1.4543
1962-06-16, -0.74577
1962-07-16, -0.67721
1962-08-16, 0.10855
1962-09-16, 0.13551
1962-10-16, 0.11893
1962-11-16, -0.76667
1962-12-16, -1.1084
1963-01-16, -1.1511
1963-02-15, -0.81339
1963-03-16, -0.27935
1963-04-16, 0.43063
1963-05-16, 0.96581
1963-06-16, 1.1907
1963-07-16, 1.6504
1963-08-16, 1.3857
1963-09-16, 1.205
1963-10-16, 1.3476
1963-11-16, 1.7873
1963-12-16, 0.42579
1964-01-16, -0.24859
1964-02-15, -1.3299
1964-03-16, -1.8959
1964-04-16, -1.2092
1964-05-16, -1.0256
1964-06-16, -0.016498
1964-07-16, 0.51809
1964-08-16, 0.86937
1964-09-16, 0.2793
1964-10-16, 0.56965
1964-11-16, 1.0023
1964-12-16, 0.84127
1965-01-16, 0.27772
1965-02-15, -0.51452
1965-03-16, -0.79132
1965-04-16, -0.19615
1965-05-16, 0.050419
1965-06-16, 1.0439
1965-07-16, 1.8285
1965-08-16, 0.57206
1965-09-16, 0.96749
1965-10-16, -0.6854
1965-11-16, 1.9869
1965-12-16, 1.8775
1966-01-16, 1.0363
1966-02-15, 0.79823
1966-03-16, -0.93469
1966-04-16, -1.5817
1966-05-16, -1.5835
1966-06-16, -1.6945
1966-07-16, -1.134
1966-08-16, -0.28847
1966-09-16, -0.016716
1966-10-16, -0.59322
1966-11-16, 0.54338
1966-12-16, 1.2986
1967-01-16, 1.0923
1967-02-15, 0.54091
1967-03-16, 0.2707
1967-04-16, 0.6064
1967-05-16, 0.45012
1967-06-16, 1.4411
1967-07-16, 1.9378
1967-08-16, -0.41634
1967-09-16, 0.46064
1967-10-16, -1.0011
1967-11-16, 0.76142
1967-12-16, 0.24154
1968-01-16, -0.43424
1968-02-15, -0.45624
1968-03-16, -0.88003
1968-04-16, -0.79611
1968-05-16, -0.62909
1968-06-16, -0.22131
1968-07-16, -0.43839
1968-08-16, -0.043625
1968-09-16, -0.038832
1968-10-16, 1.1373
1968-11-16, 0.79015
1968-12-16, 0.41189
1969-01-16, 1.9144
1969-02-15, 2.0856
1969-03-16, 1.7222
1969-04-16, 1.8595
1969-05-16, 1.1777
1969-06-16, 0.050003
1969-07-16, 1.0837
1969-08-16, 0.46431
1969-09-16, 0.6415
1969-10-16, -0.542
1969-11-16, -0.67511
1969-12-16, -0.99264
1970-01-16, -0.67243
1970-02-15, -0.6543
1970-03-16, -0.50367
1970-04-16, -0.37124
1970-05-16, -0.7044
1970-06-16, -0.55864
1970-07-16, -1.0811
1970-08-16, -0.74473
1970-09-16, -0.77789
1970-10-16, -1.2347
1970-11-16, 0.57587
1970-12-16, 1.1951
1971-01-16, 0.59698
1971-02-15, 0.092865
1971-03-16, -0.89302
1971-04-16, -1.4211
1971-05-16, -0.93719
1971-06-16, -0.28412
1971-07-16, 0.72502
1971-08-16, 0.91845
1971-09-16, -0.63656
1971-10-16, -1.0716
1971-11-16, -1.0535
1971-12-16, 0.73963
1972-01-16, -0.048702
1972-02-15, -0.58177
1972-03-16, -1.1074
1972-04-16, -2.0317
1972-05-16, -1.958
1972-06-16, -1.8413
1972-07-16, -1.2997
1972-08-16, -0.98783
1972-09-16, -0.35251
1972-10-16, 0.24555
1972-11-16, 1.7651
1972-12-16, 0.99914
1973-01-16, 1.3715
1973-02-15, 1.5907
1973-03-16, 1.2331
1973-04-16, 1.219
1973-05-16, 0.86888
1973-06-16, -0.040169
1973-07-16, -1.1956
1973-08-16, -0.70329
1973-09-16, -0.16571
1973-10-16, 0.44691
1973-11-16, 0.90448
1973-12-16, 0.459
1974-01-16, 1.1236
1974-02-15, 0.36569
1974-03-16, 0.59403
1974-04-16, 0.51339
1974-05-16, -0.27431
1974-06-16, 0.64198
1974-07-16, -0.47456
1974-08-16, -0.1988
1974-09-16, 0.030896
1974-10-16, 1.0158
1974-11-16, 0.42768
1974-12-16, 1.0028
1975-01-16, -0.079927
1975-02-15, -0.047186
1975-03-16, 0.46411
1975-04-16, 0.11696
1975-05-16, 0.75016
1975-06-16, 0.85775
1975-07-16, 0.60547
1975-08-16, 0.47424
1975-09-16, 0.57615
1975-10-16, 0.44988
1975-11-16, -0.48574
1975-12-16, -1.3719
1976-01-16, -1.85
1976-02-15, -1.4003
1976-03-16, -1.3239
1976-04-16, -0.67494
1976-05-16, -0.092881
1976-06-16, -0.82437
1976-07-16, -0.32625
1976-08-16, -0.40126
1976-09-16, 1.841
1976-10-16, 1.9087
1976-11-16, 0.95197
1976-12-16, -0.32197
1977-01-16, -1.0095
1977-02-15, -1.8121
1977-03-16, -1.5585
1977-04-16, -1.3809
1977-05-16, -1.2416
1977-06-16, -0.28149
1977-07-16, -0.10237
1977-08-16, 1.3786
1977-09-16, 0.32041
1977-10-16, -0.38191
1977-11-16, -0.92555
1977-12-16, 0.37283
1978-01-16, 1.0409
1978-02-15, 1.8116
1978-03-16, 2.1061
1978-04-16, 2.1217
1978-05-16, 2.0585
1978-06-16, 1.5381
1978-07-16, 0.4751
1978-08-16, -1.5508
1978-09-16, 0.78229
1978-10-16, 0.40504
1978-11-16, 0.84689
1978-12-16, 0.39239
1979-01-16, 0.41356
1979-02-15, 0.89155
1979-03-16, 0.93308
1979-04-16, 0.81786
1979-05-16, 0.54112
1979-06-16, -0.0016208
1979-07-16, -1.6544
1979-08-16, -1.2192
1979-09-16, -1.356
1979-10-16, -0.19294
1979-11-16, -0.58292
1979-12-16, -0.90591
1980-01-16, 0.3111
1980-02-15, 0.92275
1980-03-16, 1.0561
1980-04-16, 1.1874
1980-05-16, 1.0984
1980-06-16, 0.56752
1980-07-16, 0.566
1980-08-16, 0.95538
1980-09-16, 0.38456
1980-10-16, -0.57956
1980-11-16, -1.4458
1980-12-16, -1.712
1981-01-16, -1.1678
1981-02-15, -1.092
1981-03-16, 0.16779
1981-04-16, 0.39996
1981-05-16, 0.29183
1981-06-16, 0.57059
1981-07-16, -1.2631
1981-08-16, -1.7512
1981-09-16, -1.4407
1981-10-16, -0.14618
1981-11-16, -0.080497
1981-12-16, -0.59864
1982-01-16, -0.24859
1982-02-15, -0.76401
1982-03-16, 0.43078
1982-04-16, 0.91772
1982-05-16, 1.0369
1982-06-16, 1.8259
1982-07-16, 1.4343
1982-08-16, 1.0739
1982-09-16, 1.6381
1982-10-16, 1.1022
1982-11-16, 2.0797
1982-12-16, 1.527
1983-01-16, 1.6161
1983-02-15, 1.6279
1983-03-16, 1.617
1983-04-16, 1.8602
1983-05-16, 1.7402
1983-06-16, 1.8143
1983-07-16, 1.3353
1983-08-16, 0.78957
1983-09-16, 1.0129
1983-10-16, 0.88283
1983-11-16, 1.6523
1983-12-16, 1.4283
1984-01-16, 0.29206
1984-02-15, -0.47312
1984-03-16, -1.5138
1984-04-16, -1.8994
1984-05-16, -1.9464
1984-06-16, -1.7707
1984-07-16, -1.6602
1984-08-16, -1.5403
1984-09-16, -0.3179
1984-10-16, -0.063284
1984-11-16, 0.91367
1984-12-16, 1.0246
1985-01-16, 0.34614
1985-02-15, -0.17053
1985-03-16, -0.57324
1985-04-16, -1.2061
1985-05-16, -1.1296
1985-06-16, -0.98576
1985-07-16, -1.9418
1985-08-16, -1.3634
1985-09-16, -0.51924
1985-10-16, -0.14618
1985-11-16, 1.3326
1985-12-16, 0.34479
1986-01-16, -0.3264
1986-02-15, 0.34249
1986-03-16, 0.35296
1986-04-16, 0.53678
1986-05-16, 0.82649
1986-06-16, 0.4727
1986-07-16, -0.55804
1986-08-16, -0.9246
1986-09-16, 1.1807
1986-10-16, 0.75893
1986-11-16, 0.12659
1986-12-16, -0.37568
1987-01-16, -0.92934
1987-02-15, -0.99872
1987-03-16, -0.64607
1987-04-16, -0.74322
1987-05-16, -0.81092
1987-06-16, -0.49714
1987-07-16, -0.82265
1987-08-16, 0.543
1987-09-16, 0.62298
1987-10-16, 1.1856
1987-11-16, 1.2395
1987-12-16, 1.1675
1988-01-16, 0.78232
1988-02-15, 0.11544
1988-03-16, -0.83686
1988-04-16, -0.73312
1988-05-16, -0.90517
1988-06-16, -0.50395
1988-07-16, 0.82127
1988-08-16, -0.12829
1988-09-16, 0.22728
1988-10-16, -0.36155
1988-11-16, -0.32244
1988-12-16, 0.37843
1989-01-16, -0.32948
1989-02-15, -0.35582
1989-03-16, -0.7103
1989-04-16, -1.4103
1989-05-16, -1.1278
1989-06-16, -1.2564
1989-07-16, -1.1928
1989-08-16, -0.047289
1989-09-16, 0.77938
1989-10-16, 0.81763
1989-11-16, -0.10749
1989-12-16, -1.2954
1990-01-16, -1.2322
1990-02-15, -1.4678
1990-03-16, -1.5548
1990-04-16, -1.0924
1990-05-16, -1.1222
1990-06-16, -1.3602
1990-07-16, -0.84713
1990-08-16, -0.061959
1990-09-16, -0.53094
